net,length_um
_04982_,61.46
acc\[8\]\[28\],61.44
_03431_,61.38
clknet_leaf_36_clk,61.28
_02502_,61.26
_04984_,61.24
clknet_leaf_22_clk,61.24
_03945_,61.16
acc\[0\]\[16\],61.1
_04484_,60.78
_05120_,60.4
clknet_leaf_38_clk,60.1
_06504_,60
acc\[10\]\[24\],59.92
_06561_,59.905
_03009_,59.9
_02740_,59.62
_04491_,59.58
_05949_,59.36
_06837_,59.06
_05147_,58.76
acc\[3\]\[24\],58.74
_03169_,58.24
_01442_,57.66
_06409_,57.52
_05646_,57.48
_02028_,57.36
_02426_,57.34
_06522_,57.32
_06542_,57.32
_01003_,57.28
_01660_,56.98
_01228_,56.89
_04453_,56.88
clknet_leaf_53_clk,56.75
_02042_,56.635
_01028_,56.58
_02648_,56.56
_07076_,56.48
_02726_,56.455
_02443_,56.36
clknet_leaf_52_clk,56.35
_02468_,56.02
_05916_,56
_05800_,55.88
_05570_,55.7
_01729_,55.64
clknet_leaf_30_clk,55.64
_04288_,55.62
_03712_,55.1
_01838_,54.995
_01727_,54.88
_02783_,54.83
_00175_,54.82
_04815_,54.82
_02951_,54.76
_02816_,54.62
_06558_,54.62
_03202_,54.5
_00882_,54.47
_01114_,54.36
_05619_,54.275
_02483_,54.1
_02573_,53.84
_01031_,53.82
clknet_leaf_12_clk,53.8
_02160_,53.76
_06521_,53.655
acc\[7\]\[15\],53.44
_04196_,53.42
clknet_leaf_55_clk,53.38
_01734_,53.295
_04219_,53.2
_03067_,53.1
_02196_,53.08
_02917_,52.98
acc\[8\]\[27\],52.94
_01102_,52.66
_01357_,52.475
_05756_,52.42
_01725_,52.38
_01229_,52.28
_01125_,52.26
_02672_,52.09
_05879_,51.98
_04512_,51.94
acc\[7\]\[23\],51.86
_05609_,51.79
acc\[8\]\[17\],51.72
acc\[10\]\[27\],51.615
_06700_,51.56
_03107_,51.54
acc\[11\]\[4\],51.5
_02233_,51.48
_04033_,51.38
_02943_,51.16
_04457_,51.14
_02073_,51.06
_03306_,51.06
clknet_leaf_1_clk,51.02
_03992_,50.995
acc\[2\]\[12\],50.96
_01136_,50.66
_04592_,50.5
_04426_,50.46
_02600_,50.42
_07058_,50.34
_04337_,50.28
_01413_,50.26
_04396_,50.2
_02864_,50
_03625_,49.86
_01945_,49.84
_01506_,49.76
_01900_,49.74
acc\[6\]\[27\],49.62
_02850_,49.48
_03149_,49.44
acc\[5\]\[23\],49.3
_03212_,49.2
_07131_,49.2
_04291_,49.18
_02922_,49.13
_05391_,49.09
_04106_,49.08
clknet_leaf_16_clk,49.06
_03022_,49.02
_03046_,48.99
_05545_,48.9
_05608_,48.78
_02543_,48.76
_00861_,48.74
acc\[11\]\[12\],48.74
_01209_,48.68
_02020_,48.38
_06740_,48.35
_06251_,48.04
_00099_,47.98
acc\[10\]\[23\],47.84
_06560_,47.82
_00159_,47.74
_03968_,47.72
_01961_,47.66
_04963_,47.64
_01295_,47.62
_01600_,47.56
